model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_B,language_model-layers-11,NSD,subj01,V2v,0.00145499,0.00021852,-8.55138876,-0.295097,0.09296184,0.10197543,,
MODEL_B,language_model-layers-11,NSD,subj01,V3v,0.00245497,0.0004785,-8.76770223,-0.32000709,0.11185374,0.1319633,,
MODEL_B,language_model-layers-11,NSD,subj01,hV4,0.00226687,0.00040369,-9.2766417,-0.37672483,0.10543902,0.11322406,,
MODEL_B,language_model-layers-11,NSD,subj01,FFA-1,0.00151421,0.00030367,-9.60586778,-0.42633904,0.09830391,0.10605595,,
MODEL_B,language_model-layers-11,NSD,subj01,VWFA-1,0.00103998,0.00018125,-9.78307416,-0.39395926,0.11016817,0.09390487,,
MODEL_B,language_model-layers-11,NSD,subj01,PPA,0.00770881,0.00136292,-9.2163986,-0.38485809,0.12681396,0.15076313,,
MODEL_B,language_model-layers-11,NSD,subj01,OPA,0.00436994,0.00069594,-9.393106,-0.38284705,0.1462799,0.13360472,,
MODEL_B,language_model-layers-11,NSD,subj01,EBA,0.0029985,0.00035756,-8.92933884,-0.30671787,0.15703054,0.17393036,,
MODEL_B,language_model-layers-11,NSD,subj02,V1v,0.00608617,0.00087278,-8.16948578,-0.27640682,0.07767416,0.09859934,,
MODEL_B,language_model-layers-11,NSD,subj02,V2v,0.00272233,0.00041761,-8.50007358,-0.31867491,0.08168866,0.11154941,,
MODEL_B,language_model-layers-11,NSD,subj02,V3v,0.00128342,-7.072e-05,-8.52257703,-0.31212806,0.09086126,0.11354842,,
MODEL_B,language_model-layers-11,NSD,subj02,hV4,0.00335626,0.00053399,-8.36647006,-0.26478838,0.0964261,0.1294026,,
MODEL_B,language_model-layers-11,NSD,subj02,FFA-1,0.00187188,0.00035264,-9.15379557,-0.33856901,0.07109517,0.07973604,,
MODEL_B,language_model-layers-11,NSD,subj02,VWFA-1,0.00420493,0.00062167,-9.26549274,-0.34825574,0.08716169,0.10286712,,
MODEL_B,language_model-layers-11,NSD,subj02,PPA,0.00158194,0.00026883,-8.64561394,-0.31321153,0.14019565,0.19288482,,
MODEL_B,language_model-layers-11,NSD,subj02,OPA,0.00506654,0.00081481,-8.97445604,-0.32043067,0.16896919,0.16807958,,
MODEL_B,language_model-layers-11,NSD,subj02,EBA,0.00038436,8.04e-06,-8.9292315,-0.32439156,0.14977621,0.19328863,,
MODEL_B,language_model-layers-11,NSD,subj03,V1v,0.0019466,0.00032466,-7.32880688,-0.24344386,0.05636835,0.06984895,,
MODEL_B,language_model-layers-11,NSD,subj03,V2v,0.00250302,0.00044459,-7.38769627,-0.27715418,0.070696,0.07886034,,
MODEL_B,language_model-layers-11,NSD,subj03,V3v,-0.00217663,-0.0003817,-7.76786184,-0.29650334,0.0660244,0.07661984,,
MODEL_B,language_model-layers-11,NSD,subj03,hV4,0.00047983,-4.526e-05,-7.97883654,-0.32113832,0.06946805,0.07583723,,
MODEL_B,language_model-layers-11,NSD,subj03,FFA-1,0.00019217,0.00013211,-7.85132742,-0.32385305,0.08609529,0.09727179,,
MODEL_B,language_model-layers-11,NSD,subj03,VWFA-1,0.00015402,5.146e-05,-8.30361176,-0.37089384,0.06331459,0.05268119,,
MODEL_B,language_model-layers-11,NSD,subj03,PPA,0.00656902,0.00120585,-7.64185762,-0.31582993,0.13332098,0.1570727,,
MODEL_B,language_model-layers-11,NSD,subj03,OPA,-0.00292161,-0.00045997,-7.93738699,-0.32436344,0.10416529,0.11258935,,
MODEL_B,language_model-layers-11,NSD,subj03,EBA,0.00105343,0.00013736,-7.71730423,-0.28763106,0.13961818,0.15695953,,
MODEL_B,language_model-layers-11,NSD,subj04,V1v,-0.00124282,-0.00021609,-6.76302004,-0.24676009,0.06391874,0.07353875,,
MODEL_B,language_model-layers-11,NSD,subj04,V2v,0.00154543,0.00023841,-6.89511061,-0.22959787,0.07456904,0.10016568,,
MODEL_B,language_model-layers-11,NSD,subj04,V3v,0.00040152,4.657e-05,-7.18080044,-0.27868608,0.07584448,0.10155868,,
MODEL_B,language_model-layers-11,NSD,subj04,hV4,-0.00650021,-0.00128608,-7.40261316,-0.34674236,0.06414386,0.06934915,,
MODEL_B,language_model-layers-11,NSD,subj04,FFA-1,0.00189472,0.00033728,-7.14774513,-0.30011287,0.08366868,0.08037464,,
MODEL_B,language_model-layers-11,NSD,subj04,VWFA-1,0.00304508,0.00048147,-7.60341358,-0.37655309,0.08483294,0.0468298,,
MODEL_B,language_model-layers-11,NSD,subj04,PPA,0.00567287,0.00099242,-7.04170227,-0.2917853,0.10120244,0.14062867,,
MODEL_B,language_model-layers-11,NSD,subj04,OPA,0.00197652,0.00026639,-7.53002214,-0.34458241,0.10362822,0.11538774,,
MODEL_B,language_model-layers-11,NSD,subj04,EBA,0.00080529,6.033e-05,-7.25289965,-0.29248023,0.12404685,0.14133882,,
MODEL_B,language_model-layers-11,NSD,subj05,V1v,0.00300209,0.00043436,-8.62974707,-0.26506179,0.06497745,0.08088944,,
MODEL_B,language_model-layers-11,NSD,subj05,V2v,0.0031783,0.00053037,-8.65210015,-0.28337549,0.06910029,0.08314168,,
MODEL_B,language_model-layers-11,NSD,subj05,V3v,0.00263775,0.00057846,-9.36159434,-0.35318076,0.08478975,0.11735234,,
MODEL_B,language_model-layers-11,NSD,subj05,hV4,0.00257758,0.00045682,-9.32831275,-0.35470343,0.08878323,0.10609356,,
MODEL_B,language_model-layers-11,NSD,subj05,FFA-1,-0.0007703,-6.433e-05,-9.45268464,-0.38019794,0.11985531,0.14320987,,
MODEL_B,language_model-layers-11,NSD,subj05,VWFA-1,0.00063318,4.998e-05,-9.31322126,-0.34265117,0.1235983,0.10484493,,
MODEL_B,language_model-layers-11,NSD,subj05,PPA,0.00486389,0.00074354,-8.39831161,-0.28533234,0.17316915,0.2318456,,
MODEL_B,language_model-layers-11,NSD,subj05,OPA,0.00426011,0.00049557,-8.51742531,-0.27014406,0.15900011,0.20599365,,
MODEL_B,language_model-layers-11,NSD,subj05,EBA,-0.00039051,-0.00012115,-8.88064218,-0.29073438,0.15828411,0.17795841,,
MODEL_B,language_model-layers-11,NSD,subj06,V1v,-0.0021296,-0.00011102,-6.93872881,-0.22313713,0.05664788,0.06133143,,
MODEL_B,language_model-layers-11,NSD,subj06,V2v,0.00203176,0.00035784,-7.03441763,-0.23952517,0.06716551,0.09090829,,
MODEL_B,language_model-layers-11,NSD,subj06,V3v,0.00078591,0.00024738,-7.30726814,-0.26163846,0.07584561,0.09227283,,
MODEL_B,language_model-layers-11,NSD,subj06,hV4,0.00238388,0.00035369,-7.59628057,-0.33871597,0.06621685,0.07162727,,
MODEL_B,language_model-layers-11,NSD,subj06,FFA-1,-0.00190646,-0.0004018,-7.48155975,-0.28441277,0.06464158,0.07842596,,
MODEL_B,language_model-layers-11,NSD,subj06,VWFA-1,0.00063749,0.00023135,-7.73991919,-0.32869509,0.09195271,0.06915984,,
MODEL_B,language_model-layers-11,NSD,subj06,PPA,0.00440798,0.00075165,-7.47864008,-0.29112187,0.1361879,0.1209846,,
MODEL_B,language_model-layers-11,NSD,subj06,OPA,-0.00041647,-0.0001098,-7.54696608,-0.30623907,0.11182693,0.10220987,,
MODEL_B,language_model-layers-11,NSD,subj06,EBA,0.00141011,0.00024962,-7.74814129,-0.28516012,0.12359979,0.10946101,,
MODEL_B,language_model-layers-11,NSD,subj07,V1v,0.00065909,-2.967e-05,-9.1342661,-0.38502571,0.0574385,0.05862073,,
MODEL_B,language_model-layers-11,NSD,subj07,V2v,0.00553157,0.00095769,-9.05460782,-0.35530597,0.07157012,0.08964091,,
MODEL_B,language_model-layers-11,NSD,subj07,V3v,0.00028501,-0.00019615,-9.06797338,-0.3633679,0.06679446,0.07669841,,
MODEL_B,language_model-layers-11,NSD,subj07,hV4,-0.00059274,-1.747e-05,-9.59408686,-0.42902705,0.05952368,0.06643124,,
MODEL_B,language_model-layers-11,NSD,subj07,FFA-1,0.00704506,0.00132399,-9.69796013,-0.44624533,0.08924924,0.08684121,,
MODEL_B,language_model-layers-11,NSD,subj07,VWFA-1,-0.00012592,-9.302e-05,-9.49260705,-0.41665854,0.12237594,0.12203606,,
MODEL_B,language_model-layers-11,NSD,subj07,PPA,-0.00025088,-0.00024529,-9.64096058,-0.43934833,0.11437311,0.123613,,
MODEL_B,language_model-layers-11,NSD,subj07,OPA,0.00293504,0.00053376,-9.58802437,-0.40804296,0.12514912,0.11130949,,
MODEL_B,language_model-layers-11,NSD,subj07,EBA,-0.00010357,-7.551e-05,-9.45643324,-0.39998465,0.14034538,0.16729762,,
MODEL_B,language_model-layers-11,NSD,subj08,V1v,-0.00167125,-0.00037418,-7.3033185,-0.32215437,0.05308446,0.06039105,,
MODEL_B,language_model-layers-11,NSD,subj08,V2v,-0.00030436,7.457e-05,-7.24356222,-0.29126057,0.0595551,0.07766378,,
MODEL_B,language_model-layers-11,NSD,subj08,V3v,0.00195851,0.00030509,-7.45277262,-0.31916898,0.04995167,0.09773625,,
MODEL_B,language_model-layers-11,NSD,subj08,hV4,-0.00482165,-0.00075552,-7.48245192,-0.33152133,0.06056157,0.09447426,,
MODEL_B,language_model-layers-11,NSD,subj08,FFA-1,0.00035632,0.00027344,-7.78425789,-0.36142829,0.08415878,0.07095115,,
MODEL_B,language_model-layers-11,NSD,subj08,VWFA-1,0.00100242,0.00023329,-7.98031235,-0.43025601,0.06401097,0.0378265,,
MODEL_B,language_model-layers-11,NSD,subj08,PPA,-0.00321474,-0.00070909,-7.5270257,-0.34080395,0.09957723,0.1235322,,
MODEL_B,language_model-layers-11,NSD,subj08,OPA,1.782e-05,-2.56e-05,-7.68671227,-0.36349311,0.08355249,0.06623774,,
MODEL_B,language_model-layers-11,NSD,subj08,EBA,0.00060885,0.00015742,-7.70615101,-0.37584245,0.09198436,0.0993292,,
MODEL_B,language_model-layers-16,NSD,subj01,V1v,0.0031031,0.00049782,-23.77040931,-0.70333299,0.06982587,0.08185108,,
MODEL_B,language_model-layers-16,NSD,subj01,V2v,0.00152057,0.0003066,-25.86618303,-0.89385147,0.06683601,0.0665785,,
MODEL_B,language_model-layers-16,NSD,subj01,V3v,0.00460429,0.00079185,-25.71123613,-0.9398758,0.09669065,0.10856022,,
MODEL_B,language_model-layers-16,NSD,subj01,hV4,0.00285928,0.00059227,-27.02938542,-1.10103068,0.09784961,0.10539372,,
MODEL_B,language_model-layers-16,NSD,subj01,FFA-1,0.00299844,0.0002288,-28.79238676,-1.28151055,0.09037952,0.08668247,,
MODEL_B,language_model-layers-16,NSD,subj01,VWFA-1,-0.00083857,-0.00014366,-28.97739013,-1.16741753,0.09894464,0.07667601,,
MODEL_B,language_model-layers-16,NSD,subj01,PPA,0.00157371,6.366e-05,-27.16947672,-1.13275393,0.1303483,0.13544544,,
MODEL_B,language_model-layers-16,NSD,subj01,OPA,0.00148601,0.00024784,-28.18044939,-1.14915559,0.15912338,0.14513762,,
MODEL_B,language_model-layers-16,NSD,subj01,EBA,0.00161432,0.00015701,-26.92078563,-0.92387379,0.14304064,0.14624654,,
MODEL_B,language_model-layers-16,NSD,subj02,V1v,0.00254628,0.00032343,-23.69658447,-0.79955076,0.06204288,0.07627706,,
MODEL_B,language_model-layers-16,NSD,subj02,V2v,0.00703124,0.00096192,-25.1054011,-0.94056815,0.07236982,0.10084278,,
MODEL_B,language_model-layers-16,NSD,subj02,V3v,-0.00069912,-0.00045254,-25.87844691,-0.94585105,0.07068831,0.09806005,,
MODEL_B,language_model-layers-16,NSD,subj02,hV4,-0.00225301,-0.00043853,-24.60358201,-0.77825821,0.09940331,0.12593946,,
MODEL_B,language_model-layers-16,NSD,subj02,FFA-1,0.00057211,0.0001384,-26.88375196,-0.98682619,0.08344863,0.07678726,,
MODEL_B,language_model-layers-16,NSD,subj02,VWFA-1,0.00295014,0.00047935,-28.00800203,-1.06089728,0.09199071,0.09762271,,
MODEL_B,language_model-layers-16,NSD,subj02,PPA,0.00387669,0.00058795,-25.57597559,-0.92774415,0.11896244,0.12514942,,
MODEL_B,language_model-layers-16,NSD,subj02,OPA,0.00231565,0.00035562,-26.63690699,-0.95303439,0.14775754,0.13539323,,
MODEL_B,language_model-layers-16,NSD,subj02,EBA,0.00217043,0.00031299,-26.26253183,-0.95479881,0.13280825,0.16206379,,
MODEL_B,language_model-layers-16,NSD,subj03,V1v,-0.00098813,-6.412e-05,-21.45992661,-0.71178782,0.05265637,0.05522223,,
MODEL_B,language_model-layers-16,NSD,subj03,V2v,-0.00061156,-0.0001711,-21.63024902,-0.81300217,0.06371285,0.0800459,,
MODEL_B,language_model-layers-16,NSD,subj03,V3v,0.00377031,0.00071101,-22.65074539,-0.86686277,0.05779728,0.06099741,,
MODEL_B,language_model-layers-16,NSD,subj03,hV4,0.00162129,0.00021532,-23.46761894,-0.94380182,0.06425262,0.06135567,,
MODEL_B,language_model-layers-16,NSD,subj03,FFA-1,-0.00150417,-0.00044565,-23.36568069,-0.97012639,0.09040728,0.08561813,,
MODEL_B,language_model-layers-16,NSD,subj03,VWFA-1,0.00286672,0.00055824,-24.481884,-1.09494305,0.06901916,0.05407818,,
MODEL_B,language_model-layers-16,NSD,subj03,PPA,-0.00093943,-0.00022261,-22.72140694,-0.93927658,0.12643642,0.11994377,,
MODEL_B,language_model-layers-16,NSD,subj03,OPA,0.00305732,0.00057358,-23.04434586,-0.94360989,0.09674947,0.09395629,,
MODEL_B,language_model-layers-16,NSD,subj03,EBA,0.00120234,0.00021352,-23.11833954,-0.85934794,0.17136679,0.19463009,,
MODEL_B,language_model-layers-16,NSD,subj04,V1v,0.00326738,0.00042351,-19.81741714,-0.72269064,0.06801871,0.0754621,,
MODEL_B,language_model-layers-16,NSD,subj04,V2v,-0.00156068,-0.0003848,-20.63010597,-0.68637472,0.07343007,0.07616609,,
MODEL_B,language_model-layers-16,NSD,subj04,V3v,-0.0003289,-9.197e-05,-21.70414352,-0.8390317,0.06756652,0.09215186,,
MODEL_B,language_model-layers-16,NSD,subj04,hV4,0.00125149,0.00010844,-21.78753662,-1.02260673,0.06890965,0.06900376,,
MODEL_B,language_model-layers-16,NSD,subj04,FFA-1,-0.00013368,-0.00018607,-21.5093689,-0.89995027,0.09517009,0.09217257,,
MODEL_B,language_model-layers-16,NSD,subj04,VWFA-1,-0.00049848,-4.129e-05,-23.00471115,-1.13734925,0.08404141,0.04440125,,
MODEL_B,language_model-layers-16,NSD,subj04,PPA,0.00461724,0.00069411,-20.74015045,-0.85781217,0.09727279,0.12484752,,
MODEL_B,language_model-layers-16,NSD,subj04,OPA,0.00086798,9.955e-05,-21.79390526,-0.99648774,0.09734612,0.10232705,,
MODEL_B,language_model-layers-16,NSD,subj04,EBA,0.00284971,0.00053725,-21.79027557,-0.88016677,0.11576916,0.10210022,,
MODEL_B,language_model-layers-16,NSD,subj05,V1v,-0.0004296,-1.207e-05,-24.60158172,-0.74907713,0.05613195,0.06984213,,
MODEL_B,language_model-layers-16,NSD,subj05,V2v,-0.00025102,-0.00010531,-24.54662151,-0.8020656,0.06680269,0.10337496,,
MODEL_B,language_model-layers-16,NSD,subj05,V3v,0.00323119,0.00056082,-26.83504485,-1.02013875,0.07116319,0.10538698,,
MODEL_B,language_model-layers-16,NSD,subj05,hV4,-0.00014618,-4.192e-05,-27.64480221,-1.04606513,0.10107218,0.11649432,,
MODEL_B,language_model-layers-16,NSD,subj05,FFA-1,0.00366426,0.00058164,-28.02897336,-1.12887639,0.09595068,0.12258109,,
MODEL_B,language_model-layers-16,NSD,subj05,VWFA-1,-0.00175048,-0.00013383,-28.47984275,-1.05968768,0.13452842,0.11511164,,
MODEL_B,language_model-layers-16,NSD,subj05,PPA,0.00592207,0.00086313,-25.64084955,-0.87032865,0.217708,0.30413654,,
MODEL_B,language_model-layers-16,NSD,subj05,OPA,0.00541132,0.00073144,-25.24576777,-0.79859824,0.13129527,0.13683263,,
MODEL_B,language_model-layers-16,NSD,subj05,EBA,0.00198598,0.00028182,-25.8749966,-0.84830481,0.14766343,0.1674731,,
MODEL_B,language_model-layers-16,NSD,subj06,V1v,-0.00142914,-0.00024996,-20.55373573,-0.65965199,0.05179377,0.05198872,,
MODEL_B,language_model-layers-16,NSD,subj06,V2v,-0.00051352,-0.00022794,-20.83544159,-0.71290225,0.0625603,0.08130989,,
MODEL_B,language_model-layers-16,NSD,subj06,V3v,0.00126896,0.00015021,-21.83038521,-0.78524762,0.07369859,0.08563612,,
MODEL_B,language_model-layers-16,NSD,subj06,hV4,0.00063178,0.00011636,-22.22115707,-0.99064547,0.06074593,0.05585343,,
MODEL_B,language_model-layers-16,NSD,subj06,FFA-1,0.00151159,-1.048e-05,-21.76050758,-0.83083999,0.05536425,0.05278893,,
MODEL_B,language_model-layers-16,NSD,subj06,VWFA-1,-0.00172455,-0.00034591,-22.82484245,-0.96841967,0.08020274,0.05260865,,
MODEL_B,language_model-layers-16,NSD,subj06,PPA,0.004375,0.00070241,-21.69660378,-0.8409217,0.12734222,0.11684961,,
MODEL_B,language_model-layers-16,NSD,subj06,OPA,0.0033643,0.00054762,-22.47728729,-0.9139297,0.10206432,0.0823769,,
MODEL_B,language_model-layers-16,NSD,subj06,EBA,0.00030089,8.65e-06,-22.63263893,-0.83391619,0.10882012,0.08677809,,
MODEL_B,language_model-layers-16,NSD,subj07,V1v,-0.00218951,-0.00030759,-27.20447608,-1.14692191,0.05417895,0.0597724,,
MODEL_B,language_model-layers-16,NSD,subj07,V2v,0.00362834,0.00056853,-26.69148539,-1.04674374,0.06320813,0.0750834,,
MODEL_B,language_model-layers-16,NSD,subj07,V3v,-0.00220726,-0.00036538,-26.9092982,-1.07604492,0.0628955,0.0744941,,
MODEL_B,language_model-layers-16,NSD,subj07,hV4,0.00455123,0.00088096,-27.81100841,-1.24825493,0.05559026,0.06182036,,
MODEL_B,language_model-layers-16,NSD,subj07,FFA-1,-0.00035031,0.00013577,-28.96440025,-1.33640533,0.07928884,0.0611213,,
MODEL_B,language_model-layers-16,NSD,subj07,VWFA-1,0.00078842,-8.96e-05,-28.44886883,-1.23293639,0.17254231,0.15698484,,
MODEL_B,language_model-layers-16,NSD,subj07,PPA,-0.0012716,-0.00022414,-28.43455152,-1.29521634,0.10793109,0.09112197,,
MODEL_B,language_model-layers-16,NSD,subj07,OPA,-0.00020597,-6.031e-05,-27.95223541,-1.19000194,0.11062061,0.09519197,,
MODEL_B,language_model-layers-16,NSD,subj07,EBA,0.00194459,0.00026263,-28.34224001,-1.19924327,0.11099886,0.11023714,,
MODEL_B,language_model-layers-16,NSD,subj08,V1v,-0.00126605,-0.0002612,-21.51888275,-0.94900429,0.04744669,0.05747061,,
MODEL_B,language_model-layers-16,NSD,subj08,V2v,0.00211225,0.00037695,-20.89805984,-0.83828014,0.06089323,0.09360851,,
MODEL_B,language_model-layers-16,NSD,subj08,V3v,0.00162302,0.00049729,-21.81272125,-0.9343707,0.04901177,0.09178092,,
MODEL_B,language_model-layers-16,NSD,subj08,hV4,-0.00219569,-0.00049955,-21.60544777,-0.95901614,0.06394616,0.09103808,,
MODEL_B,language_model-layers-16,NSD,subj08,FFA-1,-0.00112999,-0.00033243,-22.9052124,-1.06325734,0.09231101,0.08462122,,
MODEL_B,language_model-layers-16,NSD,subj08,VWFA-1,0.0004978,7.044e-05,-23.33561516,-1.25571239,0.05387759,0.03291474,,
MODEL_B,language_model-layers-16,NSD,subj08,PPA,0.00071427,2.818e-05,-22.1153965,-0.99938047,0.08832154,0.10548185,,
MODEL_B,language_model-layers-16,NSD,subj08,OPA,0.00304748,0.00059804,-22.2956028,-1.05438888,0.09434928,0.06713731,,
MODEL_B,language_model-layers-16,NSD,subj08,EBA,0.0009435,0.00017141,-22.73122215,-1.10670078,0.0918477,0.09718647,,
MODEL_B,visual-blocks-2,NSD,subj01,V1v,0.38255976,0.0556377,0.12854189,0.0025294,0.2337774,0.40869296,,
MODEL_B,visual-blocks-2,NSD,subj01,V2v,0.26851277,0.04062276,0.06880256,0.00144452,0.1326661,0.24133902,,
MODEL_B,visual-blocks-2,NSD,subj01,V3v,0.27246981,0.04281377,0.05318617,0.00124146,0.1021773,0.21297679,,
MODEL_B,visual-blocks-2,NSD,subj01,hV4,0.20134628,0.03417729,0.03624464,0.00095962,0.07458637,0.12228538,,
MODEL_B,visual-blocks-2,NSD,subj01,FFA-1,0.16140416,0.02983513,0.02463411,0.00079306,0.087389,0.06941989,,
MODEL_B,visual-blocks-2,NSD,subj01,VWFA-1,0.1289117,0.02245337,0.01568367,0.00042744,0.07080164,0.04609075,,
MODEL_B,visual-blocks-2,NSD,subj01,PPA,0.21154844,0.03694316,0.03118544,0.00090234,0.07805151,0.11833911,,
MODEL_B,visual-blocks-2,NSD,subj01,OPA,0.0851435,0.0144292,0.00611329,0.00012497,0.04855362,0.02261374,,
MODEL_B,visual-blocks-2,NSD,subj01,EBA,0.21786748,0.03393554,0.0444399,0.00099398,0.14039853,0.14558745,,
MODEL_B,visual-blocks-2,NSD,subj02,V1v,0.37634299,0.05451599,0.13037437,0.00253371,0.21360456,0.41066242,,
MODEL_B,visual-blocks-2,NSD,subj02,V2v,0.30008649,0.04544765,0.07372739,0.00155854,0.14636688,0.30781284,,
MODEL_B,visual-blocks-2,NSD,subj02,V3v,0.28652327,0.04356572,0.06571216,0.00140701,0.11618809,0.25302159,,
MODEL_B,visual-blocks-2,NSD,subj02,hV4,0.284145,0.04207593,0.06452628,0.00133516,0.0855416,0.21111667,,
MODEL_B,visual-blocks-2,NSD,subj02,FFA-1,0.21392706,0.03448976,0.03874216,0.00097414,0.06652521,0.12801952,,
MODEL_B,visual-blocks-2,NSD,subj02,VWFA-1,0.19192216,0.031822,0.03251556,0.00084594,0.09676958,0.09874987,,
MODEL_B,visual-blocks-2,NSD,subj02,PPA,0.26750569,0.04286618,0.04637815,0.00112063,0.11324917,0.20876598,,
MODEL_B,visual-blocks-2,NSD,subj02,OPA,0.14965243,0.02454995,0.0192028,0.00047549,0.05203399,0.05312325,,
MODEL_B,visual-blocks-2,NSD,subj02,EBA,0.2444266,0.03820949,0.05441602,0.00123343,0.16157328,0.17493191,,
MODEL_B,visual-blocks-2,NSD,subj03,V1v,0.36951637,0.05768058,0.11755023,0.00269864,0.16444225,0.33464193,,
MODEL_B,visual-blocks-2,NSD,subj03,V2v,0.31152228,0.0508728,0.08013102,0.00194588,0.12246968,0.30984403,,
MODEL_B,visual-blocks-2,NSD,subj03,V3v,0.24730296,0.0428657,0.05414016,0.00152035,0.07828641,0.1605777,,
MODEL_B,visual-blocks-2,NSD,subj03,hV4,0.23218434,0.0413124,0.04701829,0.00140869,0.06343909,0.15268234,,
MODEL_B,visual-blocks-2,NSD,subj03,FFA-1,0.16534398,0.02931028,0.02303887,0.00068736,0.06885822,0.08656944,,
MODEL_B,visual-blocks-2,NSD,subj03,VWFA-1,0.10625669,0.02025782,0.01117822,0.00037768,0.03741036,0.03825263,,
MODEL_B,visual-blocks-2,NSD,subj03,PPA,0.18842788,0.0328414,0.02708688,0.00078161,0.05966992,0.10656595,,
MODEL_B,visual-blocks-2,NSD,subj03,OPA,0.11190452,0.02037324,0.01230365,0.00038113,0.0434849,0.03140483,,
MODEL_B,visual-blocks-2,NSD,subj03,EBA,0.19941653,0.03308182,0.03686425,0.00094182,0.15544588,0.13690529,,
MODEL_B,visual-blocks-2,NSD,subj04,V1v,0.3531588,0.05517247,0.11607682,0.00256281,0.20949253,0.32998045,,
MODEL_B,visual-blocks-2,NSD,subj04,V2v,0.30857888,0.04750983,0.09009076,0.00192538,0.1566214,0.29520191,,
MODEL_B,visual-blocks-2,NSD,subj04,V3v,0.21854196,0.03767252,0.04216141,0.00115799,0.0923571,0.13196218,,
MODEL_B,visual-blocks-2,NSD,subj04,hV4,0.15749057,0.03051154,0.02141536,0.00076142,0.05100431,0.05684066,,
MODEL_B,visual-blocks-2,NSD,subj04,FFA-1,0.16221634,0.02850573,0.02045422,0.00062635,0.05823072,0.07278494,,
MODEL_B,visual-blocks-2,NSD,subj04,VWFA-1,0.11724723,0.02330285,0.01241026,0.00045245,0.06827936,0.03068168,,
MODEL_B,visual-blocks-2,NSD,subj04,PPA,0.18432908,0.03272073,0.02844271,0.00083346,0.08926859,0.10630628,,
MODEL_B,visual-blocks-2,NSD,subj04,OPA,0.14521061,0.0281562,0.01475691,0.00053111,0.0609696,0.0671445,,
MODEL_B,visual-blocks-2,NSD,subj04,EBA,0.1843816,0.03150472,0.03074464,0.00083301,0.12069215,0.12169966,,
MODEL_B,visual-blocks-2,NSD,subj05,V1v,0.44197056,0.06629502,0.17158187,0.00366501,0.19608066,0.47495684,,
MODEL_B,visual-blocks-2,NSD,subj05,V2v,0.35634613,0.05367012,0.12108705,0.00254442,0.17879691,0.36679526,,
MODEL_B,visual-blocks-2,NSD,subj05,V3v,0.27186629,0.04525978,0.06606857,0.0016857,0.11097956,0.2467288,,
MODEL_B,visual-blocks-2,NSD,subj05,hV4,0.2141035,0.03626458,0.03905105,0.00107369,0.08297912,0.16058763,,
MODEL_B,visual-blocks-2,NSD,subj05,FFA-1,0.18389049,0.03124681,0.02942075,0.00079146,0.09230931,0.10401891,,
MODEL_B,visual-blocks-2,NSD,subj05,VWFA-1,0.19062171,0.03121636,0.03349819,0.00082233,0.14426701,0.09754339,,
MODEL_B,visual-blocks-2,NSD,subj05,PPA,0.25487432,0.03926761,0.04309217,0.00098429,0.0792002,0.17737626,,
MODEL_B,visual-blocks-2,NSD,subj05,OPA,0.20056254,0.03038854,0.02363828,0.0005176,0.07880226,0.11790559,,
MODEL_B,visual-blocks-2,NSD,subj05,EBA,0.23385635,0.03520059,0.04839026,0.00101536,0.16179779,0.16187837,,
MODEL_B,visual-blocks-2,NSD,subj06,V1v,0.36432832,0.05579156,0.12560162,0.00269656,0.23667055,0.39495187,,
MODEL_B,visual-blocks-2,NSD,subj06,V2v,0.3015883,0.0477296,0.07682195,0.00177046,0.14492138,0.30372874,,
MODEL_B,visual-blocks-2,NSD,subj06,V3v,0.23934184,0.0394791,0.04494513,0.001155,0.08260804,0.18692081,,
MODEL_B,visual-blocks-2,NSD,subj06,hV4,0.18084343,0.03400277,0.03014882,0.0010075,0.06761846,0.09686696,,
MODEL_B,visual-blocks-2,NSD,subj06,FFA-1,0.16681916,0.02710361,0.02332067,0.00056904,0.0585687,0.09378519,,
MODEL_B,visual-blocks-2,NSD,subj06,VWFA-1,0.12336047,0.02240616,0.01250422,0.00040092,0.07024178,0.04113242,,
MODEL_B,visual-blocks-2,NSD,subj06,PPA,0.18400624,0.0305435,0.02279761,0.00059188,0.0787858,0.11433404,,
MODEL_B,visual-blocks-2,NSD,subj06,OPA,0.13168937,0.02360644,0.01299065,0.00039947,0.05299849,0.04268728,,
MODEL_B,visual-blocks-2,NSD,subj06,EBA,0.16553342,0.02718864,0.02385374,0.00059305,0.08726841,0.09023365,,
MODEL_B,visual-blocks-2,NSD,subj07,V1v,0.34045491,0.05985669,0.10700603,0.00305322,0.17472927,0.32660615,,
MODEL_B,visual-blocks-2,NSD,subj07,V2v,0.32082859,0.05415579,0.08598709,0.00227733,0.15726963,0.27463387,,
MODEL_B,visual-blocks-2,NSD,subj07,V3v,0.26213111,0.04489578,0.06443794,0.00174633,0.0989244,0.1387165,,
MODEL_B,visual-blocks-2,NSD,subj07,hV4,0.22035142,0.04016697,0.04357342,0.00135119,0.08261483,0.11322466,,
MODEL_B,visual-blocks-2,NSD,subj07,FFA-1,0.18606078,0.03470712,0.03233448,0.00106548,0.0926862,0.08942815,,
MODEL_B,visual-blocks-2,NSD,subj07,VWFA-1,0.2136171,0.03800463,0.04250755,0.00121323,0.16296718,0.14476972,,
